tier,target,gene,aliases,notes,target_category,indication_focus,registry_confidence,asset_expansion_status,source_basis
Approved / validated,HER2,ERBB2,HER2; HER-2; ERBB2; Human epidermal growth factor receptor 2; CD340; trastuzumab deruxtecan; T-DXd; Enhertu; trastuzumab emtansine; T-DM1; Kadcyla; disitamab vedotin; RC48,Most validated solid-tumor ADC target; benchmark for activity and crowding.,Solid tumor,Breast; gastric; lung; pan-HER2 expressing tumors,Approved ADC target,Strong asset aliases,Approved ADC landscape / clinical reviews
Approved / validated,TROP2,TACSTD2,TROP2; TROP-2; TACSTD2; tumor-associated calcium signal transducer 2; EGP-1; GA733-1; sacituzumab govitecan; Trodelvy; datopotamab deruxtecan; Dato-DXd; Datroway; SKB264; sac-TMT,Highly active pan-solid ADC target with major commercial momentum.,Solid tumor,Breast; lung; urothelial; endometrial; pan-epithelial,Approved ADC target,Strong asset aliases,Approved ADC landscape / clinical reviews
Approved / validated,Nectin-4,NECTIN4,Nectin-4; NECTIN4; PVRL4; poliovirus receptor-like 4; enfortumab vedotin; Padcev,Validated urothelial ADC target and important reference for epithelial expression risk.,Solid tumor,Urothelial; breast; lung; other epithelial tumors,Approved ADC target,Strong asset aliases,Approved ADC landscape / clinical reviews
Approved / validated,FR alpha,FOLR1,FR alpha; FRα; FR-alpha; folate receptor alpha; folate receptor 1; FOLR1; FOLR-1; mirvetuximab soravtansine; Elahere; MORAb-202; farletuzumab ecteribulin; STRO-002; luveltamab tazevibulin; luvelta,Validated ovarian ADC target; relevant to gynecologic and low-normal-expression selectivity questions.,Solid tumor,Ovarian; endometrial; NSCLC,Approved ADC target,Strong asset aliases,Approved ADC landscape / gynecologic ADC reviews
Approved / validated,Tissue Factor,F3,Tissue Factor; TF; F3; coagulation factor III; CD142; tisotumab vedotin; Tivdak,"Validated ADC target, especially cervical cancer; useful benchmark for tissue-expression toxicity.",Solid tumor,Cervical; ovarian; lung; bladder,Approved ADC target,Strong asset aliases,Approved ADC landscape / clinical reviews
Approved / validated,EGFR,EGFR,EGFR; ERBB1; HER1; epidermal growth factor receptor; depatuxizumab mafodotin; depatux-m; ABT-414; MRG003; serclutamab talirine; BL-B01D1,Clinically established but selectivity/toxicity and broad normal expression make it a trispecific selectivity case study.,Solid tumor,Lung; head and neck; colorectal; glioblastoma,Approved / clinical ADC target,Moderate asset aliases,Approved and clinical ADC landscape reviews
Approved / validated,c-Met,MET,c-Met; MET; hepatocyte growth factor receptor; HGFR; telisotuzumab vedotin; Teliso-V; Emrelis; telisotuzumab vedotin-tllv,Recently approved/late-stage ADC target in MET-high NSCLC; strong money-flow target.,Solid tumor,NSCLC; gastric; hepatobiliary,Approved ADC target,Strong asset aliases,Market / FDA approval reporting
Approved / validated,CD19,CD19,CD19; B-lymphocyte antigen CD19; loncastuximab tesirine; Zynlonta; coltuximab ravtansine; SAR3419,Validated hematologic ADC target.,Hematologic,B-cell lymphoma; ALL,Approved ADC target,Strong asset aliases,Approved ADC landscape / clinical reviews
Approved / validated,CD22,CD22,CD22; SIGLEC2; B-cell receptor CD22; inotuzumab ozogamicin; Besponsa; moxetumomab pasudotox,Validated hematologic ADC target.,Hematologic,ALL; B-cell malignancies,Approved ADC target,Strong asset aliases,Approved ADC landscape / clinical reviews
Approved / validated,CD30,TNFRSF8,CD30; TNFRSF8; Ki-1 antigen; brentuximab vedotin; Adcetris,Validated hematologic ADC target.,Hematologic,Hodgkin lymphoma; anaplastic large-cell lymphoma,Approved ADC target,Strong asset aliases,Approved ADC landscape / clinical reviews
Approved / validated,CD33,CD33,CD33; SIGLEC3; myeloid cell surface antigen CD33; gemtuzumab ozogamicin; Mylotarg; vadastuximab talirine; SGN-CD33A,Validated myeloid ADC target.,Hematologic,AML,Approved ADC target,Strong asset aliases,Approved ADC landscape / clinical reviews
Approved / validated,CD79b,CD79B,CD79b; CD79B; B-cell antigen receptor complex-associated protein beta chain; polatuzumab vedotin; Polivy,Validated lymphoma ADC target.,Hematologic,Diffuse large B-cell lymphoma; B-cell NHL,Approved ADC target,Strong asset aliases,Approved ADC landscape / clinical reviews
Approved / validated,BCMA,TNFRSF17,BCMA; B-cell maturation antigen; TNFRSF17; CD269; belantamab mafodotin; Blenrep; GSK2857916; MEDI2228; HDP-101,Validated myeloma ADC target.,Hematologic,Multiple myeloma,Approved ADC target,Strong asset aliases,Approved ADC landscape / clinical reviews
Late-stage / high-conviction,B7-H3,CD276,B7-H3; B7H3; CD276; B7 homolog 3; enoblituzumab; ifinatamab deruxtecan; I-DXd; DS-7300; vobramitamab duocarmazine; MGC018; HS-20093; izalontamab brengitecan,Very hot ADC target with broad solid tumor and SCLC/neuroendocrine activity.,Solid tumor / immune checkpoint family,SCLC; prostate; breast; lung; sarcoma; pan-solid,Clinical ADC target,Strong asset aliases,2025 ADC landscape and SCLC target assessment
Late-stage / high-conviction,B7-H4,VTCN1,B7-H4; B7H4; VTCN1; B7S1; B7x; immune checkpoint B7-H4; puxitatug samrotecan; AZD8205; SGN-B7H4V; HS-20089,Emerging epithelial and gynecologic ADC target with high strategic relevance.,Solid tumor / immune checkpoint family,Ovarian; breast; endometrial; lung,Clinical ADC target,Moderate asset aliases,2025 ADC landscape / emerging biomarker sources
Late-stage / high-conviction,CLDN18.2,CLDN18,CLDN18.2; Claudin 18.2; CLDN18 isoform 2; zolbetuximab target; CMG901; AZD0901; IBI343; LM-302; SYSA1801,"One of the hottest GI ADC targets, especially gastric/GEJ and pancreatic.",Solid tumor / tight junction,Gastric; GEJ; pancreatic,Clinical ADC target,Moderate asset aliases,2025 ADC landscape reviews
Late-stage / high-conviction,HER3,ERBB3,HER3; ERBB3; HER-3; human epidermal growth factor receptor 3; patritumab deruxtecan; HER3-DXd; U3-1402; DB-1310,"High-conviction ADC target in lung/breast, often tied to resistance biology.",Solid tumor,NSCLC; breast; EGFR-mutant lung,Clinical ADC target,Strong asset aliases,2025 ADC landscape reviews
Late-stage / high-conviction,ROR1,ROR1,ROR1; receptor tyrosine kinase-like orphan receptor 1; zilovertamab vedotin; VLS-101; NBE-002; XMT-1535,Developmental/oncofetal target spanning hematologic and solid tumors.,Solid tumor / hematologic,Breast; lung; ovarian; CLL; lymphoma,Clinical ADC target,Moderate asset aliases,2025 ADC landscape / tissue target expression studies
Late-stage / high-conviction,CDH6,CDH6,CDH6; Cadherin-6; K-cadherin; HKT288; DS-6000; raludotatug deruxtecan; R-DXd; MK-2870,Clinically hot ovarian/renal ADC target; highly relevant to gynecologic map.,Solid tumor / adhesion,Ovarian; renal; endometrial,Clinical ADC target,Moderate asset aliases,2025 ADC landscape reviews
Late-stage / high-conviction,DLL3,DLL3,DLL3; Delta-like ligand 3; rovalpituzumab tesirine; Rova-T; ifinatamab deruxtecan target context; ZL-1310; zocilurtatug pelitecan; Zoci,Neuroendocrine/SCLC target with renewed ADC and radiopharma interest.,Solid tumor / neuroendocrine,SCLC; neuroendocrine tumors,Clinical ADC target,Moderate asset aliases,SCLC ADC target assessment / pipeline reports
Late-stage / high-conviction,SEZ6,SEZ6,SEZ6; seizure-related homolog 6; ABBV-011; SC-007; ABBV-706,SCLC/neuroendocrine ADC target gaining attention.,Solid tumor / neuroendocrine,SCLC; neuroendocrine tumors,Clinical ADC target,Moderate asset aliases,SCLC ADC target assessment / 2025 ADC reports
Late-stage / high-conviction,NaPi2b,SLC34A2,NaPi2b; Napi2b; NaPi-IIb; SLC34A2; sodium-dependent phosphate transport protein 2B; XMT-1536; upifitamab rilsodotin; UpRi; lifastuzumab vedotin,Ovarian/lung ADC target with historical setbacks but continued strategic relevance.,Solid tumor / transporter,Ovarian; lung,Clinical ADC target,Moderate asset aliases,ADC market and gynecologic reviews
Late-stage / high-conviction,PSMA,FOLH1,PSMA; FOLH1; prostate-specific membrane antigen; glutamate carboxypeptidase II; MLN2704; PSMA ADC; ARX517,Prostate target with ADC and radioligand relevance.,Solid tumor / prostate,Prostate cancer,Clinical ADC target,Moderate asset aliases,ADC pipeline landscape
Late-stage / high-conviction,STEAP1,STEAP1,STEAP1; six-transmembrane epithelial antigen of prostate 1; DSTP3086S; vandortuzumab vedotin; AMG 509 target context,Prostate-focused ADC target.,Solid tumor / prostate,Prostate; Ewing sarcoma,Clinical ADC target,Moderate asset aliases,ADC pipeline landscape
Late-stage / high-conviction,CD46,CD46,CD46; membrane cofactor protein; MCP; measles virus receptor; FOR46; FG-3246,Prostate and solid tumor ADC target; also relevant to immune/complement biology.,Solid tumor / immune-complement,Prostate; multiple myeloma; solid tumors,Clinical ADC target,Moderate asset aliases,2025 ADC landscape reviews
Late-stage / high-conviction,Mesothelin,MSLN,Mesothelin; MSLN; CAK1 antigen; anetumab ravtansine; BMS-986148; DMOT4039A; amatuximab ravtansine; RC88,Classic solid-tumor ADC target; useful for pancreatic/ovarian/mesothelioma comparisons.,Solid tumor,Mesothelioma; ovarian; pancreatic; lung,Clinical ADC target,Moderate asset aliases,Clinical ADC reviews
Late-stage / high-conviction,LIV-1,SLC39A6,LIV-1; SLC39A6; ZIP6; ladiratuzumab vedotin; SGN-LIV1A,Breast and epithelial ADC target.,Solid tumor,Breast; gynecologic; epithelial tumors,Clinical ADC target,Moderate asset aliases,ADC pipeline landscape
Late-stage / high-conviction,ITGB6,ITGB6,ITGB6; integrin beta 6; alpha-v beta-6; avb6; SGN-B6A; sigvotatug vedotin,"Emerging late-stage target for epithelial tumors, lung and GI relevance.",Solid tumor / integrin,NSCLC; head and neck; pancreatic; GI,Clinical ADC target,Moderate asset aliases,2025 ADC landscape reviews
Late-stage / high-conviction,CEACAM5,CEACAM5,CEACAM5; CEA; carcinoembryonic antigen-related cell adhesion molecule 5; tusamitamab ravtansine; SAR408701; labetuzumab govitecan,GI/lung ADC target; historically active and still useful competitive signal.,Solid tumor / adhesion,Colorectal; lung; gastric; pancreatic,Clinical ADC target,Moderate asset aliases,ADC clinical landscape
Late-stage / high-conviction,MUC1,MUC1,MUC1; MUC1-C; CA15-3; EMA; epithelial membrane antigen; gatipotuzumab; PankoMab; SAR566658; DS-3939,Broad epithelial tumor target with glycoform/selectivity complexity.,Solid tumor / mucin,Breast; ovarian; lung; pancreatic; GI,Clinical ADC target,Moderate asset aliases,2025 ADC landscape reviews
Late-stage / high-conviction,AXL,AXL,AXL; UFO; AXL receptor tyrosine kinase; enapotamab vedotin; AVB-S6-500 target context; BA3011,EMT/resistance-associated target; useful trispecific biology case.,Solid tumor / receptor tyrosine kinase,NSCLC; ovarian; sarcoma; pancreatic,Clinical ADC target,Moderate asset aliases,ADC pipeline landscape
Late-stage / high-conviction,PTK7,PTK7,PTK7; protein tyrosine kinase 7; colon carcinoma kinase 4; CCK4; cofetuzumab pelidotin; PF-06647020; tusamitamab ravtansine context,Developmental/tumor target with reported ADC activity.,Solid tumor / developmental,Ovarian; lung; breast; GI,Clinical ADC target,Moderate asset aliases,2025 ADC landscape / expression studies
Late-stage / high-conviction,GPNMB,GPNMB,GPNMB; glycoprotein NMB; osteoactivin; CDX-011; glembatumumab vedotin,Melanoma/breast/sarcoma target; expression studies keep it relevant.,Solid tumor / glycoprotein,Melanoma; breast; sarcoma,Clinical ADC target,Moderate asset aliases,ADC expression studies / clinical landscape
Late-stage / high-conviction,LRRC15,LRRC15,LRRC15; leucine-rich repeat-containing protein 15; ABBV-085; samrotamab vedotin,Stromal/CAF-associated ADC target; important for tumor microenvironment logic.,Solid tumor / stromal,Sarcoma; lung; breast; pancreatic,Clinical ADC target,Moderate asset aliases,2025 tissue ADC target expression studies
Late-stage / high-conviction,ENPP3,ENPP3,ENPP3; ectonucleotide pyrophosphatase/phosphodiesterase 3; CD203c; AGS-16C3F; AGS16F,Renal ADC target with clinical precedent.,Solid tumor,Renal cell carcinoma,Clinical ADC target,Moderate asset aliases,ADC pipeline landscape
Late-stage / high-conviction,SLITRK6,SLITRK6,SLITRK6; SLIT and NTRK-like family member 6; AGS15E; ASG-15ME,Urothelial/breast ADC target with clinical precedent.,Solid tumor,Urothelial; breast; lung,Clinical ADC target,Moderate asset aliases,ADC pipeline landscape
Late-stage / high-conviction,CD70,CD70,CD70; CD27 ligand; TNFSF7; vorsetuzumab mafodotin; SGN-CD70A; cusatuzumab ravtansine context,Renal and hematologic ADC target with immune biology relevance.,Solid tumor / hematologic,Renal; lymphoma; AML; nasopharyngeal,Clinical ADC target,Moderate asset aliases,ADC pipeline landscape
Late-stage / high-conviction,CD123,IL3RA,CD123; IL3RA; interleukin-3 receptor alpha; tagraxofusp target; IMGN632; pivekimab sunirine,Myeloid ADC/targeted payload target; strong hematologic relevance.,Hematologic,AML; BPDCN; myeloid malignancies,Clinical ADC target,Moderate asset aliases,ADC hematologic clinical landscape
Late-stage / high-conviction,CD38,CD38,CD38; cyclic ADP ribose hydrolase; TAK-169; TAK-573 target context; indatuximab ravtansine target context,Multiple myeloma target with ADC and immunotherapy history.,Hematologic,Multiple myeloma; lymphoma,Clinical ADC target,Limited asset aliases,ADC hematologic clinical landscape
Late-stage / high-conviction,CD138,SDC1,CD138; SDC1; syndecan-1; indatuximab ravtansine; BT062,Multiple myeloma and epithelial expression target.,Hematologic / solid tumor,Multiple myeloma; epithelial cancers,Clinical ADC target,Moderate asset aliases,ADC hematologic clinical landscape
Late-stage / high-conviction,CD25,IL2RA,CD25; IL2RA; interleukin-2 receptor alpha; camidanlumab tesirine; Cami; ADCT-301,Hematologic and Treg biology target.,Hematologic / immune,Hodgkin lymphoma; T-cell lymphoma,Clinical ADC target,Moderate asset aliases,ADC hematologic clinical landscape
Late-stage / high-conviction,CD37,CD37,CD37; tetraspanin CD37; naratuximab emtansine; IMGN529; AGS67E,B-cell malignancy ADC target.,Hematologic,B-cell lymphoma; CLL,Clinical ADC target,Moderate asset aliases,ADC hematologic clinical landscape
Late-stage / high-conviction,FLT3,FLT3,FLT3; CD135; fms-like tyrosine kinase 3; AGS62P1; FLT3 ADC,AML target with ADC relevance.,Hematologic,AML,Clinical ADC target,Limited asset aliases,ADC hematologic clinical landscape
Late-stage / high-conviction,KIT,KIT,KIT; CD117; c-Kit; stem cell factor receptor; LOP628; CDX-0159 target context,Hematologic/GIST target with ADC exploration.,Hematologic / solid tumor,AML; GIST; mast cell disease,Exploratory clinical ADC target,Limited asset aliases,ADC hematologic clinical landscape
Emerging clinical,FGFR2b,FGFR2,FGFR2b; FGFR2; fibroblast growth factor receptor 2b; bemarituzumab target; aprutumab ixadotin; LY3076226; BAY 1187982,GI target with ADC and antibody precedent.,Solid tumor / RTK,Gastric; GEJ; cholangiocarcinoma,Clinical ADC target,Moderate asset aliases,ADC pipeline landscape
Emerging clinical,EphA2,EPHA2,EphA2; EPHA2; ephrin type-A receptor 2; MEDI-547; DS-8895a; MM-310,Solid tumor target with recurrence in ADC studies.,Solid tumor / RTK,Ovarian; lung; breast; glioma; pancreatic,Clinical ADC target,Moderate asset aliases,ADC pipeline landscape
Emerging clinical,EphA5,EPHA5,EphA5; EPHA5; ephrin type-A receptor 5; anti-EphA5 ADC,Emerging Eph-family ADC target; monitor for early-stage activity.,Solid tumor / RTK,Lung; breast; brain tumors,Emerging / needs verification,Limited asset aliases,Emerging ADC target reports
Emerging clinical,5T4,TPBG,5T4; TPBG; trophoblast glycoprotein; PF-06263507; A1mcMMAF; ASN004,Oncofetal/trophoblast target with ADC clinical precedent.,Solid tumor / oncofetal,Lung; ovarian; renal; GI,Clinical ADC target,Moderate asset aliases,ADC pipeline landscape
Emerging clinical,CA9,CA9,CA9; Carbonic anhydrase IX; CAIX; G250; girentuximab target; anti-CAIX ADC,Hypoxia/renal target with ADC/radiopharma relevance.,Solid tumor / hypoxia,Renal cell carcinoma; hypoxic solid tumors,Clinical ADC target,Limited asset aliases,ADC pipeline landscape
Emerging clinical,CDH17,CDH17,CDH17; Cadherin-17; LI-cadherin; liver-intestine cadherin; ARB202; CHM-2101,"GI-focused emerging ADC target, highlighted in 2025 discovery activity.",Solid tumor / adhesion,Colorectal; gastric; pancreatic; GI,Emerging clinical / preclinical ADC target,Limited asset aliases,2025 AACR / target discovery reports
Emerging clinical,CEACAM6,CEACAM6,CEACAM6; NCA; nonspecific cross-reacting antigen; DMUC4064A target family context,CEA-family ADC target; relevant alongside CEACAM5.,Solid tumor / adhesion,Pancreatic; colorectal; lung,Emerging clinical ADC target,Limited asset aliases,ADC pipeline landscape
Emerging clinical,MUC16,MUC16,MUC16; CA125; cancer antigen 125; sofituzumab vedotin; DMUC5754A; DMUC4064A,Ovarian biomarker/target with historical ADC studies.,Solid tumor / mucin,Ovarian; endometrial; peritoneal,Clinical ADC target,Moderate asset aliases,Gynecologic ADC reviews
Emerging clinical,GPC3,GPC3,GPC3; Glypican-3; codrituzumab target; hYP7 ADC; anti-GPC3 ADC,HCC/oncofetal target with ADC exploration.,Solid tumor / oncofetal,Hepatocellular carcinoma; pediatric tumors,Emerging clinical ADC target,Limited asset aliases,ADC pipeline landscape
Emerging clinical,GPC1,GPC1,GPC1; Glypican-1; anti-GPC1 ADC,Pancreatic/solid tumor glypican target.,Solid tumor / glypican,Pancreatic; esophageal; glioma,Emerging / needs verification,Limited asset aliases,Emerging ADC target reports
Emerging clinical,GPC2,GPC2,GPC2; Glypican-2; D3-GPC2-PBD; anti-GPC2 ADC,Pediatric/neuroblastoma ADC target.,Solid tumor / pediatric,Neuroblastoma; pediatric solid tumors,Emerging / needs verification,Limited asset aliases,Emerging ADC target reports
Emerging clinical,LGR5,LGR5,LGR5; leucine-rich repeat-containing G-protein coupled receptor 5; cancer stem cell marker; anti-LGR5 ADC,Cancer stem-cell associated ADC target.,Solid tumor / stemness,Colorectal; gastric; pancreatic,Emerging / needs verification,Limited asset aliases,Emerging ADC target reports
Emerging clinical,FAP,FAP,FAP; fibroblast activation protein; seprase; cancer-associated fibroblast target; anti-FAP ADC,"Stromal target, important for microenvironment targeting and combination logic.",Solid tumor / stromal,Pan-solid stromal; pancreatic; sarcoma,Emerging / needs verification,Limited asset aliases,Tissue target expression studies
Emerging clinical,MRC2,MRC2,MRC2; mannose receptor C type 2; uPARAP; Endo180; anti-MRC2 ADC,Soft-tissue sarcoma overexpressed ADC target candidate.,Solid tumor / stromal,Sarcoma; stromal-rich tumors,Emerging / needs verification,Limited asset aliases,2025 tissue ADC target expression studies
Emerging clinical,FN1,FN1,FN1; fibronectin 1; extra-domain B fibronectin; EDB-FN; L19 ADC context,Extracellular matrix target; included for stromal ADC mapping.,Solid tumor / extracellular matrix,Sarcoma; stromal-rich solid tumors,Emerging / needs verification,Limited asset aliases,2025 tissue ADC target expression studies
Emerging clinical,CD248,CD248,CD248; endosialin; TEM1; tumor endothelial marker 1; anti-CD248 ADC,Stromal/pericyte target candidate.,Solid tumor / stromal,Sarcoma; stromal-rich solid tumors,Emerging / needs verification,Limited asset aliases,2025 tissue ADC target expression studies
Emerging clinical,PD-L1,CD274,PD-L1; PDL1; CD274; B7-H1; programmed death ligand 1; anti-PD-L1 ADC; SGN-PDL1V; SHR-A1811 target context,Checkpoint target with ADC exploration; broad immuno-oncology relevance but search noise risk.,Solid tumor / immune checkpoint,NSCLC; urothelial; breast; pan-solid,Clinical ADC target,Limited asset aliases,Emerging biomarker / ADC landscape reports
Emerging clinical,CLDN6,CLDN6,CLDN6; Claudin-6; CLDN 6; TORL-1-23; anti-CLDN6 ADC,Oncofetal tight-junction target for ovarian/testicular and other tumors.,Solid tumor / tight junction,Ovarian; testicular; endometrial,Emerging clinical ADC target,Limited asset aliases,ADC pipeline landscape
Emerging clinical,CLDN4,CLDN4,CLDN4; Claudin-4; anti-CLDN4 ADC,Epithelial tight-junction target; monitor for emerging ADCs.,Solid tumor / tight junction,Ovarian; pancreatic; gastric; lung,Emerging / needs verification,Limited asset aliases,Emerging ADC target reports
Emerging clinical,EpCAM,EPCAM,EpCAM; EPCAM; TACSTD1; epithelial cell adhesion molecule; GA733-2; anti-EpCAM ADC,Classic epithelial target with selectivity challenges.,Solid tumor / adhesion,GI; ovarian; breast; lung,Clinical ADC target,Limited asset aliases,ADC pipeline landscape
Emerging clinical,P-cadherin,CDH3,P-cadherin; CDH3; cadherin-3; PCA062,Epithelial/gynecologic ADC target with clinical precedent.,Solid tumor / adhesion,Breast; ovarian; lung; gynecologic,Clinical ADC target,Moderate asset aliases,ADC pipeline landscape
Emerging clinical,C4.4A,LYPD3,C4.4A; LYPD3; Ly6/PLAUR domain-containing protein 3; BAY1129980,Lung/esophageal ADC target with clinical precedent.,Solid tumor / membrane protein,NSCLC; esophageal; head and neck,Clinical ADC target,Moderate asset aliases,ADC pipeline landscape
Emerging clinical,CD166,ALCAM,CD166; ALCAM; activated leukocyte cell adhesion molecule; CX-2009; praluzatamab ravtansine,Solid tumor ADC target with probody-style precedent.,Solid tumor / adhesion,Breast; lung; ovarian; head and neck,Clinical ADC target,Moderate asset aliases,ADC pipeline landscape
Emerging clinical,SLC44A4,SLC44A4,SLC44A4; choline transporter-like protein 4; ASG-5ME; ASG-5ME ADC,Epithelial/gastrointestinal ADC target.,Solid tumor / transporter,Gastric; pancreatic; prostate,Clinical ADC target,Moderate asset aliases,ADC pipeline landscape
Emerging clinical,CD71,TFRC,CD71; TFRC; transferrin receptor; transferrin receptor 1; CX-2029; anti-CD71 ADC,High-internalization target but normal tissue risk; valuable trispecific selectivity case.,Solid tumor / hematologic / transporter,Pan-solid; hematologic,Clinical ADC target,Moderate asset aliases,ADC pipeline landscape
Emerging clinical,CD98,SLC3A2,CD98; SLC3A2; 4F2hc; solute carrier family 3 member 2; IGN523 target context; anti-CD98 ADC,Broad tumor target with selectivity risk.,Solid tumor / transporter,Pan-solid; hematologic,Emerging / needs verification,Limited asset aliases,ADC pipeline landscape
Emerging clinical,CD205,LY75,CD205; LY75; DEC-205; mannose receptor C type 1-like 1; anti-CD205 ADC,Dendritic/hematologic target with ADC exploration.,Hematologic / immune,AML; lymphoma; immune cells,Clinical ADC target,Limited asset aliases,ADC pipeline landscape
Emerging clinical,CD74,CD74,CD74; HLA class II histocompatibility antigen gamma chain; milatuzumab doxorubicin; anti-CD74 ADC,B-cell malignancy target with ADC precedent.,Hematologic,Lymphoma; myeloma; CLL,Clinical ADC target,Moderate asset aliases,ADC hematologic clinical landscape
Emerging clinical,CD56,NCAM1,CD56; NCAM1; neural cell adhesion molecule 1; lorvotuzumab mertansine; IMGN901,SCLC/neuroendocrine and myeloma ADC target with historical precedent.,Solid tumor / hematologic / neuroendocrine,SCLC; neuroendocrine; multiple myeloma,Clinical ADC target,Moderate asset aliases,ADC pipeline landscape
Emerging clinical,ROR2,ROR2,ROR2; receptor tyrosine kinase-like orphan receptor 2; BA3021; ozuriftamab vedotin,Developmental target with ADC clinical activity.,Solid tumor / developmental,NSCLC; melanoma; sarcoma; breast,Clinical ADC target,Moderate asset aliases,Tissue expression studies / ADC pipeline
Emerging clinical,MELTF,MELTF,MELTF; CD228; melanotransferrin; SGN-CD228A,Melanotransferrin/CD228 ADC target.,Solid tumor,Melanoma; breast; lung; mesothelioma,Clinical ADC target,Moderate asset aliases,ADC pipeline landscape
Emerging clinical,AMHR2,AMHR2,AMHR2; anti-Mullerian hormone receptor type 2; MISR2; GM102 ADC context,"Gynecologic target, ovarian specificity angle.",Solid tumor / gynecologic,Ovarian; endometrial; gynecologic tumors,Emerging / needs verification,Limited asset aliases,Gynecologic ADC target reports
Emerging clinical,PRLR,PRLR,PRLR; prolactin receptor; LFA102 target; anti-PRLR ADC,Breast/gynecologic ADC target candidate.,Solid tumor / hormone receptor,Breast; ovarian; endometrial,Emerging / needs verification,Limited asset aliases,ADC pipeline landscape
Emerging clinical,ADAM9,ADAM9,ADAM9; a disintegrin and metalloproteinase domain-containing protein 9; IMGC936; bavituximab target context,Pancreatic/lung/triple-negative breast ADC target.,Solid tumor / protease,Pancreatic; NSCLC; TNBC,Clinical ADC target,Moderate asset aliases,ADC pipeline landscape
Emerging clinical,SORT1,SORT1,SORT1; sortilin; TH1902; sudocetaxel zendusortide,Internalizing receptor target in solid tumors.,Solid tumor / trafficking receptor,Ovarian; endometrial; solid tumors,Clinical ADC target,Moderate asset aliases,ADC pipeline landscape
Emerging clinical,MMP14,MMP14,MMP14; MT1-MMP; matrix metalloproteinase 14; BT1718 target context,Protease/stromal invasive biology target.,Solid tumor / protease,Breast; lung; pancreatic; sarcoma,Clinical ADC / toxin-conjugate target,Limited asset aliases,ADC/prodrug pipeline landscape
Emerging clinical,IL13R alpha 2,IL13RA2,IL13R alpha 2; IL13Rα2; IL13RA2; interleukin-13 receptor alpha 2; cintredekin besudotox target context,Glioma/solid target with payload-conjugate relevance.,Solid tumor / receptor,Glioblastoma; melanoma; ovarian,Emerging / needs verification,Limited asset aliases,Emerging ADC target reports
Emerging clinical,CSPG4,CSPG4,CSPG4; chondroitin sulfate proteoglycan 4; NG2; melanoma-associated chondroitin sulfate proteoglycan; anti-CSPG4 ADC,Melanoma/sarcoma target candidate.,Solid tumor / extracellular matrix,Melanoma; sarcoma; TNBC,Emerging / needs verification,Limited asset aliases,Emerging ADC target reports
Emerging clinical,Notch3,NOTCH3,NOTCH3; Notch receptor 3; PF-06650808; anti-Notch3 ADC,Ovarian/lung developmental pathway target.,Solid tumor / developmental,Ovarian; lung; breast,Clinical ADC target,Moderate asset aliases,ADC pipeline landscape
Emerging clinical,KAAG1,KAAG1,KAAG1; kidney associated antigen 1; anti-KAAG1 ADC,"Tumor-restricted target candidate, especially ovarian/renal interest.",Solid tumor,Ovarian; renal; gynecologic,Emerging / needs verification,Limited asset aliases,Emerging ADC target reports
Emerging clinical,STn,ST6GALNAC1,STn; sialyl-Tn; sialylated Tn antigen; ST6GALNAC1; anti-STn ADC,Tumor-associated carbohydrate antigen target.,Solid tumor / glycan,Ovarian; gastric; breast; pancreatic,Emerging / needs verification,Limited asset aliases,Emerging ADC target reports
Emerging clinical,CanAg,MUC1/CLDN?,CanAg; CA242; cantuzumab mertansine; cantuzumab ravtansine,Historical tumor-associated glycoantigen ADC target; useful legacy reference.,Solid tumor / glycan,GI; pancreatic; colorectal,Historical clinical ADC target,Moderate asset aliases,ADC historical landscape
Emerging clinical,CD44v6,CD44,CD44v6; CD44 variant 6; bivatuzumab mertansine,Historical ADC target with toxicity lessons.,Solid tumor / adhesion,Head and neck; squamous; epithelial tumors,Historical clinical ADC target,Moderate asset aliases,ADC historical landscape
